",""datetime"",""temp"",""pressure"",""par"",""h2o"",""co2"""
77,2016-08-11 14:28:14,24.113,65.65,0,36.972,510.56
78,2016-08-11 14:28:15,24.113,65.65,0,36.938,512.07
79,2016-08-11 14:28:16,24.113,65.65,0,36.904,513.51
80,2016-08-11 14:28:17,24.113,65.65,0,36.888,514.32
81,2016-08-11 14:28:18,24.113,65.65,0,36.855,515.7
82,2016-08-11 14:28:19,24.113,65.65,0,36.819,517.07
83,2016-08-11 14:28:20,24.113,65.65,0,36.784,518.42
84,2016-08-11 14:28:21,24.113,65.65,0,36.76,519.45
85,2016-08-11 14:28:22,24.113,65.65,0,36.747,520.06
86,2016-08-11 14:28:23,24.113,65.65,0,36.729,520.85
87,2016-08-11 14:28:24,24.113,65.65,0,36.711,521.43
88,2016-08-11 14:28:25,24.113,65.65,0,36.69,522.21
89,2016-08-11 14:28:26,24.113,65.65,0,36.657,523.18
90,2016-08-11 14:28:27,24.113,65.65,0,36.635,524.13
